id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period,MPN10P_median_price_next_10_periods,HPN10P_highest_price_next_10_periods,LPN10P_lowest_price_next_10_periods,HPN1P_high_price_next_1_period,LPN1P_low_price_next_1_period
15,,24-01-2000,"1,441.36","1,454.09","1,395.42","1,401.53","1,402","1,11,58,00,000","1,407.94","1,435.91","1,350.14","1,414.26","1,388.49"
16,,25-01-2000,"1,401.53","1,414.26","1,388.49","1,410.03","1,410","1,07,37,00,000","1,409.28","1,441.83","1,350.14","1,412.73","1,400.16"
17,,26-01-2000,"1,410.03","1,412.73","1,400.16","1,404.09","1,404","1,11,73,00,000","1,411.68","1,444.55","1,350.14","1,418.86","1,370.99"
18,,27-01-2000,"1,404.09","1,418.86","1,370.99","1,398.56","1,399","1,12,95,00,000","1,412.91","1,444.55","1,350.14","1,398.56","1,356.20"
19,,28-01-2000,"1,398.56","1,398.56","1,356.20","1,360.16","1,360","1,09,58,00,000","1,414.43","1,444.55","1,350.14","1,394.48","1,350.14"
20,,31-01-2000,"1,360.16","1,394.48","1,350.14","1,394.46","1,394","99,38,00,000","1,414.43","1,444.55","1,378.89","1,412.49","1,384.79"
21,,01-02-2000,"1,394.46","1,412.49","1,384.79","1,409.28","1,409","98,10,00,000","1,414.43","1,444.55","1,376.25","1,420.61","1,403.49"
22,,02-02-2000,"1,409.28","1,420.61","1,403.49","1,409.12","1,409","1,03,86,00,000","1,413.80","1,444.55","1,376.25","1,425.78","1,398.52"
23,,03-02-2000,"1,409.12","1,425.78","1,398.52","1,424.97","1,425","1,14,65,00,000","1,411.67","1,444.55","1,376.25","1,435.91","1,420.63"
24,,04-02-2000,"1,424.97","1,435.91","1,420.63","1,424.37","1,424","1,04,51,00,000","1,402.05","1,444.55","1,345.32","1,427.15","1,413.33"
25,,07-02-2000,"1,424.37","1,427.15","1,413.33","1,424.24","1,424","91,81,00,000","1,394.46","1,444.55","1,331.88","1,441.83","1,424.24"
26,,08-02-2000,"1,424.24","1,441.83","1,424.24","1,441.72","1,442","1,04,77,00,000","1,388.42","1,444.55","1,331.88","1,444.55","1,411.65"
27,,09-02-2000,"1,441.72","1,444.55","1,411.65","1,411.71","1,412","1,05,05,00,000","1,387.40","1,422.10","1,329.88","1,422.10","1,406.43"
28,,10-02-2000,"1,411.70","1,422.10","1,406.43","1,416.83","1,417","1,05,88,00,000","1,379.48","1,416.83","1,329.15","1,416.83","1,378.89"
29,,11-02-2000,"1,416.83","1,416.83","1,378.89","1,387.12","1,387","1,02,57,00,000","1,363.47","1,407.72","1,325.07","1,394.93","1,380.53"
30,,14-02-2000,"1,387.12","1,394.93","1,380.53","1,389.94","1,390","92,73,00,000","1,360.69","1,407.72","1,325.07","1,407.72","1,376.25"
31,,15-02-2000,"1,389.94","1,407.72","1,376.25","1,402.05","1,402","1,09,21,00,000","1,360.69","1,404.55","1,325.07","1,404.55","1,385.58"
32,,16-02-2000,"1,402.05","1,404.55","1,385.58","1,387.67","1,388","1,01,88,00,000","1,360.69","1,399.88","1,325.07","1,399.88","1,380.07"
33,,17-02-2000,"1,387.67","1,399.88","1,380.07","1,388.26","1,388","1,03,48,00,000","1,360.69","1,410.88","1,325.07","1,388.59","1,345.32"
34,,18-02-2000,"1,388.26","1,388.59","1,345.32","1,346.09","1,346","1,04,23,00,000","1,361.48","1,410.88","1,325.07","1,358.11","1,331.88"
35,,22-02-2000,"1,346.09","1,358.11","1,331.88","1,352.17","1,352","98,00,00,000","1,366.42","1,410.88","1,325.07","1,370.11","1,342.44"
36,,23-02-2000,"1,352.17","1,370.11","1,342.44","1,360.69","1,361","99,37,00,000","1,366.42","1,410.88","1,325.07","1,364.80","1,329.88"
37,,24-02-2000,"1,360.69","1,364.80","1,329.88","1,353.43","1,353","1,21,50,00,000","1,369.99","1,410.88","1,325.07","1,362.14","1,329.15"
